question,answer
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the symptoms of listeriosis?,"Fever, Muscle aches, Nausea, Diarrhea, Headache, Stiff neck, Confusion, Loss of balance, Convulsions"
what are the symptoms of ovarian cancer?,"Abdominal bloating, Pelvic pain, Difficulty eating or feeling full quickly, Urinary symptoms, Back pain, Fatigue, Indigestion, Menstrual irregularities"
what are the symptoms of aortic stenosis?,"Shortness of breath, Chest pain or discomfort, Fainting or lightheadedness"
what are the symptoms of interstitial cystitis?,"Pelvic pain, Frequent urination, Urgency to urinate, Painful urination, Pain during sexual intercourse"
what are the treatments for scabies?,"Prescription medications to kill the mites, Topical creams or lotions"
what are the symptoms of rotavirus infection?,"Diarrhea, Vomiting, Fever, Abdominal pain"
what are the treatments for group a streptococcal infection?,"Antibiotics, Pain relief medication, Rest"
what are the symptoms of deep vein thrombosis?,"Swelling in the affected leg, Pain or tenderness in the affected leg, Warmth in the skin over the affected leg, Red or discolored skin over the affected leg, Shortness of breath"
what are the symptoms of epilepsy?,"Seizures, Temporary confusion, Staring spells, Loss of consciousness, Psychic symptoms"
what are the symptoms of chickenpox?,"Fever, Fatigue, Loss of appetite, Headache, Itchy rash, Blisters, Body aches"
what are the symptoms of down syndrome?,"Intellectual disability, Delayed developmental milestones, Hypotonia (low muscle tone), Upward slanting eyes, Flat nasal bridge, Short stature, Heart defects"
what are the symptoms of chagas disease?,"Fever, Fatigue, Body aches, Swollen lymph nodes, Headache, Enlarged liver or spleen, Heart palpitations"
what are the treatments for hyperthyroidism?,"Antithyroid medication, Radioactive iodine therapy, Beta blockers"
what are the treatments for polycystic ovary syndrome?,"Birth control pills to regulate periods and decrease androgen levels, Anti-androgen medications to reduce excess hair growth and acne, Metformin to improve insulin resistance and regulate menstrual cycles, Fertility treatments (e.g., in vitro fertilization) for those trying to conceive"
what are the treatments for sciatica?,"Physical therapy, Pain medication, Steroid injections, Surgery"
what are the symptoms of rocky mountain spotted fever?,"Fever, Headache, Muscle pain, Rash"
what are the symptoms of filariasis?,"Swelling of the limbs, genitalia, or breasts, Fever, Chills, Muscle and joint pain, Fatigue, Skin rash, Lymphedema"
what are the symptoms of non-hodgkin's lymphoma?,"Swollen lymph nodes, Fatigue, Night sweats, Fever, Unexplained weight loss, Chest pain or pressure"
what are the treatments for autoimmune disorders?,"Anti-inflammatory medications, Immunosuppressant drugs, Corticosteroids, Physical therapy, Surgery (in severe cases)"
what are the treatments for respiratory syncytial virus infection?,"Supportive care, Antiviral medication"
what are the treatments for sleep apnea?,"Continuous Positive Airway Pressure (CPAP) therapy, Oral appliances, Surgery, Lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)"
what are the symptoms of aids?,"Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders"
what are the symptoms of high blood pressure (hypertension)?,"Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes"
what are the symptoms of cytomegalovirus infection?,"Fever, Fatigue, Sore throat, Swollen glands, Muscle aches, Loss of appetite, Jaundice, Pneumonia, Encephalitis"
what is histoplasmosis?,Histoplasmosis is a fungal infection caused by inhaling spores of the fungus Histoplasma capsulatum. It can cause flu-like symptoms and can be severe in people with weakened immune systems.
what are the symptoms of deep vein thrombosis?,"Swelling in the affected leg, Pain or tenderness in the affected leg, Warmth in the skin over the affected leg, Red or discolored skin over the affected leg, Shortness of breath"
